# Logfile created on 2026-07-14 11:05:13 -0400 by logger.rb/61378
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/bthomas3/Videos/77GHz_phased_array/layout/ALL_BLOCKS_77G.gds
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : Ruby Version for klayout: 2.5.9
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : Loading database to memory is complete.
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : IHP-SG13G2 KLayout DRC runset output at: /home/bthomas3/Videos/77GHz_phased_array/layout/drc_ILFD_77G_XTOR/ALL_BLOCKS_77G_ILFD_77G_XTOR_main.lyrdb
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : Evaluate switches.
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : tables selected: main
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : KLayout will use 6 thread(s) in tiling mode.
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : deep mode is enabled.
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : FEOL enabled: true
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : BEOL enabled: true
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : OFFGRID enabled: true
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : ANGLE enabled: true
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : PIN enabled: true
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : FORBIDDEN enabled: true
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : RECOMMENDED enabled: true
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : PreCheck DRC enabled: false
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : CONNECTIVITY_RULES enabled: true.
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : Read in polygons from layers.
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_drw has 56 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_pin has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_mask has 16 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_filler has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_nofill has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_iopc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : activ_noqrc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (412872K) : biwind_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : biwind_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : pemwind_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : gatpoly_drw has 4 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : gatpoly_pin has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : gatpoly_filler has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : gatpoly_nofill has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : gatpoly_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (414904K) : gatpoly_iopc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415168K) : gatpoly_noqrc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415168K) : cont_drw has 90 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415168K) : cont_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415168K) : nsd_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415168K) : nsd_block has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_drw has 60 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_pin has 18 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_mask has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_filler has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_nofill has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_slit has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_text has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_noqrc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_res has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_iprobe has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : metal1_diffprb has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : passiv_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : passiv_pin has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : passiv_sbump has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : passiv_pillar has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415432K) : passiv_pdl has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415752K) : metal2_drw has 12 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415752K) : metal2_pin has 8 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415752K) : metal2_mask has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415752K) : metal2_filler has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (415752K) : metal2_nofill has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416016K) : metal2_slit has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416016K) : metal2_text has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416016K) : metal2_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416016K) : metal2_noqrc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416016K) : metal2_res has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416016K) : metal2_iprobe has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416016K) : metal2_diffprb has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416280K) : baspoly_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416280K) : baspoly_pin has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416280K) : psd_drw has 11 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416280K) : nldb_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416544K) : digibnd_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416544K) : via1_drw has 10 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416544K) : backmetal1_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416544K) : backmetal1_pin has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416544K) : backmetal1_mask has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416808K) : backmetal1_filler has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416808K) : backmetal1_nofill has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416808K) : backmetal1_slit has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416808K) : backmetal1_text has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (416808K) : backmetal1_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417072K) : backmetal1_noqrc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417072K) : backmetal1_res has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417072K) : backmetal1_iprobe has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417072K) : backmetal1_diffprb has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417336K) : backpassiv_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417336K) : res_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417336K) : sram_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417336K) : trans_drw has 8 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417336K) : ind_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417600K) : ind_pin has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417600K) : ind_text has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417600K) : salblock_drw has 1 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417600K) : via2_drw has 2 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417600K) : metal3_drw has 5 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417864K) : metal3_pin has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417864K) : metal3_mask has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417864K) : metal3_filler has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417864K) : metal3_nofill has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (417864K) : metal3_slit has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418128K) : metal3_text has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418128K) : metal3_opc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418128K) : metal3_noqrc has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418128K) : metal3_res has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418128K) : metal3_iprobe has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418392K) : metal3_diffprb has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418392K) : nwell_drw has 0 polygons
2026-07-14 11:05:13 -0400: Memory Usage (418392K) : nwell_pin has 0 polygons
