# Logfile created on 2026-07-14 11:04:46 -0400 by logger.rb/61378
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/bthomas3/Videos/77GHz_phased_array/layout/ALL_BLOCKS_77G.gds
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : Ruby Version for klayout: 2.5.9
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : Loading database to memory is complete.
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : IHP-SG13G2 KLayout DRC runset output at: /home/bthomas3/Videos/77GHz_phased_array/layout/drc_MIXER_77G_XTOR/ALL_BLOCKS_77G_MIXER_77G_XTOR_main.lyrdb
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : Evaluate switches.
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : tables selected: main
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : KLayout will use 6 thread(s) in tiling mode.
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : deep mode is enabled.
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : FEOL enabled: true
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : BEOL enabled: true
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : OFFGRID enabled: true
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : ANGLE enabled: true
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : PIN enabled: true
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : FORBIDDEN enabled: true
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : RECOMMENDED enabled: true
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : PreCheck DRC enabled: false
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : CONNECTIVITY_RULES enabled: true.
2026-07-14 11:04:46 -0400: Memory Usage (413032K) : Read in polygons from layers.
2026-07-14 11:04:46 -0400: Memory Usage (415104K) : activ_drw has 112 polygons
2026-07-14 11:04:46 -0400: Memory Usage (415104K) : activ_pin has 0 polygons
2026-07-14 11:04:46 -0400: Memory Usage (415104K) : activ_mask has 32 polygons
2026-07-14 11:04:46 -0400: Memory Usage (415104K) : activ_filler has 0 polygons
