# Logfile created on 2026-07-14 10:30:30 -0400 by logger.rb/61378
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/bthomas3/Videos/77GHz_phased_array/layout/VCO_77G.gds
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : Ruby Version for klayout: 2.5.9
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : Loading database to memory is complete.
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : IHP-SG13G2 KLayout DRC runset output at: /home/bthomas3/Videos/77GHz_phased_array/layout/drc_out/VCO_77G_VCO_77G_main.lyrdb
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : Evaluate switches.
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : tables selected: main
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : KLayout will use 6 thread(s) in tiling mode.
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : deep mode is enabled.
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : FEOL enabled: false
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : BEOL enabled: true
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : OFFGRID enabled: true
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : ANGLE enabled: true
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : PIN enabled: true
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : FORBIDDEN enabled: true
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : RECOMMENDED enabled: true
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : PreCheck DRC enabled: false
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : CONNECTIVITY_RULES enabled: false.
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : Read in polygons from layers.
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_pin has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_mask has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_filler has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_nofill has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_opc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_iopc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : activ_noqrc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : biwind_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : biwind_opc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : pemwind_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : gatpoly_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : gatpoly_pin has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : gatpoly_filler has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : gatpoly_nofill has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : gatpoly_opc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : gatpoly_iopc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : gatpoly_noqrc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : cont_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : cont_opc has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : nsd_drw has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (412312K) : nsd_block has 0 polygons
2026-07-14 10:30:30 -0400: Memory Usage (413796K) : metal1_drw has 2 polygons
2026-07-14 10:30:30 -0400: Memory Usage (413796K) : metal1_pin has 0 polygons
