freq_kHz,power_dB
0.000000000000000000e+00,-1.090621895206825229e+02
9.998999774820033215e-01,-1.150786784525959945e+02
1.999799954964006643e+00,-1.671857838909060945e+02
2.999699932446010298e+00,-1.729609599861555580e+02
3.999599909928013286e+00,-1.557259817246414002e+02
4.999499887410016719e+00,-1.606970284841859780e+02
5.999399864892020595e+00,-1.563933010316140724e+02
6.999299842374023584e+00,-1.581940688958517853e+02
7.999199819856026572e+00,-1.579772593100962013e+02
8.999099797338031337e+00,-1.547865157363306139e+02
9.998999774820033437e+00,-1.534639720176898265e+02
1.099889975230203731e+01,-1.518139555042989741e+02
1.199879972978404119e+01,-1.493432436280089064e+02
1.299869970726604329e+01,-1.481261765680644089e+02
1.399859968474804717e+01,-1.450455039046750301e+02
1.499849966223004927e+01,-1.433179995515134237e+02
1.599839963971205314e+01,-1.409208785659695309e+02
1.699829961719405702e+01,-1.384513721816443876e+02
1.799819959467606267e+01,-1.350676107547158153e+02
1.899809957215806122e+01,-1.320419547814693146e+02
1.999799954964006687e+01,-1.283672178343013286e+02
2.099789952712206897e+01,-1.239795349886419871e+02
2.199779950460407463e+01,-1.187743534634493585e+02
2.299769948208607673e+01,-1.122449763918231156e+02
2.399759945956808238e+01,-1.033029858566336543e+02
2.499749943705008093e+01,-8.851320795119985974e+01
2.599739941453208658e+01,-7.040370789797856332e+01
2.699729939201409223e+01,-6.844403821396160481e+01
2.799719936949609433e+01,-7.929070883285322680e+01
2.899709934697809999e+01,-9.934234256231138716e+01
2.999699932446009853e+01,-1.095876534621811373e+02
3.099689930194210419e+01,-1.167679742003578127e+02
3.199679927942410629e+01,-1.224116862807592838e+02
3.299669925690611194e+01,-1.269822016381192498e+02
3.399659923438811404e+01,-1.308629752902324128e+02
3.499649921187011614e+01,-1.345324923175817275e+02
3.599639918935212535e+01,-1.375317798898857404e+02
3.699629916683412745e+01,-1.403927217215475025e+02
3.799619914431612244e+01,-1.431634465141754049e+02
3.899609912179813165e+01,-1.466992041494007140e+02
3.999599909928013375e+01,-1.483085189748840662e+02
4.099589907676213585e+01,-1.533241885333117409e+02
4.199579905424413795e+01,-1.571244518410115347e+02
4.299569903172614715e+01,-1.620150849759241112e+02
4.399559900920814925e+01,-1.781126696886057914e+02
4.499549898669015136e+01,-1.594759606013633686e+02
4.599539896417215346e+01,-1.564913983582559638e+02
4.699529894165416266e+01,-1.521900992222370519e+02
4.799519891913616476e+01,-1.576025683705916265e+02
4.899509889661815976e+01,-1.439561394549027682e+02
4.999499887410016186e+01,-1.499805167044383438e+02
5.099489885158217106e+01,-1.451524884911881941e+02
5.199479882906417316e+01,-1.416278219945141643e+02
5.299469880654617526e+01,-1.426081953370995166e+02
5.399459878402818447e+01,-1.401531746124647384e+02
5.499449876151018657e+01,-1.385666695959849619e+02
5.599439873899218867e+01,-1.373018725016367512e+02
5.699429871647419077e+01,-1.356289702402299895e+02
5.799419869395619997e+01,-1.338146991747346704e+02
5.899409867143819497e+01,-1.324502423011487053e+02
5.999399864892019707e+01,-1.309879343983414515e+02
6.099389862640219917e+01,-1.292246580616250924e+02
6.199379860388420838e+01,-1.274896469347220460e+02
6.299369858136621048e+01,-1.256610670429697620e+02
6.399359855884821258e+01,-1.238087801428638102e+02
6.499349853633022178e+01,-1.218351393550815942e+02
6.599339851381222388e+01,-1.197979875816768214e+02
6.699329849129422598e+01,-1.175568633319957854e+02
6.799319846877622808e+01,-1.152245357339192822e+02
6.899309844625823018e+01,-1.126963726318576278e+02
6.999299842374023228e+01,-1.099288978229505034e+02
7.099289840122223438e+01,-1.069765132331578172e+02
7.199279837870425069e+01,-1.036276379896965238e+02
7.299269835618623858e+01,-9.989239794321244403e+01
7.399259833366825490e+01,-9.559236626680944937e+01
7.499249831115025700e+01,-9.052422583713646986e+01
7.599239828863224488e+01,-8.430426963590744549e+01
7.699229826611426120e+01,-7.615692507401907108e+01
7.799219824359626330e+01,-6.395351760359433513e+01
7.899209822107826540e+01,-9.041935711285146837e+00
7.999199819856026750e+01,-2.949322000914702535e+00
8.099189817604226960e+01,-8.894934635584066385e+00
8.199179815352427170e+01,-6.302181580798822580e+01
8.299169813100628801e+01,-7.492204010720702456e+01
8.399159810848827590e+01,-8.272127371488112146e+01
8.499149808597029221e+01,-8.857929159875753555e+01
8.599139806345229431e+01,-9.327745258027819375e+01
8.699129804093428220e+01,-9.720193190058691357e+01
8.799119801841629851e+01,-1.005632713966994913e+02
8.899109799589828640e+01,-1.035182027429385698e+02
8.999099797338030271e+01,-1.061046940222959591e+02
9.099089795086230481e+01,-1.084682806382450480e+02
9.199079792834430691e+01,-1.106085920093723018e+02
9.299069790582630901e+01,-1.125406216809520430e+02
9.399059788330832532e+01,-1.143709714737087069e+02
9.499049786079031321e+01,-1.160141369194800518e+02
9.599039783827232952e+01,-1.175559965219100889e+02
9.699029781575433162e+01,-1.190154971777717208e+02
9.799019779323631951e+01,-1.203826782228136096e+02
9.899009777071833582e+01,-1.216754973315009067e+02
9.998999774820032371e+01,-1.229354988186608324e+02
1.009898977256823400e+02,-1.240478324510768573e+02
1.019897977031643421e+02,-1.249884838357869512e+02
1.029896976806463442e+02,-1.261886001232443419e+02
1.039895976581283463e+02,-1.272272847492934602e+02
1.049894976356103626e+02,-1.281399534525303068e+02
1.059893976130923505e+02,-1.290476026566614394e+02
1.069892975905743526e+02,-1.300519745176797528e+02
1.079891975680563689e+02,-1.306239031531258092e+02
1.089890975455383568e+02,-1.315136387435094605e+02
1.099889975230203731e+02,-1.330570379964743779e+02
1.109888975005023610e+02,-1.320343226508660166e+02
1.119887974779843773e+02,-1.349166454678055800e+02
1.129886974554663794e+02,-1.344961380760917962e+02
1.139885974329483815e+02,-1.353534685889360105e+02
1.149884974104303836e+02,-1.359317888251516706e+02
1.159883973879123999e+02,-1.366942272886076353e+02
1.169882973653943878e+02,-1.375378682226221088e+02
1.179881973428763899e+02,-1.380687604742543328e+02
