Index       FREQ           Re(V(OUTP))       Im(V(OUTP))       Re(V(OUTN))       Im(V(OUTN))       Re(V(INP))        Im(V(INP))        Re(V(INN))        Im(V(INN))    
0       -5.39000000e+11   -3.74684841e-17    2.44513169e-17    3.11832005e-17    9.49971646e-18    0.00000000e+00    1.42598561e-17    0.00000000e+00   -1.42598561e-17
1       -4.62000000e+11    1.17032956e-17    2.76311903e-17   -7.12050978e-19    2.30194179e-17    0.00000000e+00   -0.00000000e+00    0.00000000e+00   -0.00000000e+00
2       -3.85000000e+11   -5.17693468e-17   -1.87471581e-17   -7.00951566e-17   -2.11411200e-17    0.00000000e+00   -0.00000000e+00    0.00000000e+00   -0.00000000e+00
3       -3.08000000e+11   -3.51673401e-17   -1.74795995e-17   -2.52941563e-17   -2.90158473e-17    0.00000000e+00   -1.03959177e-17    0.00000000e+00    1.03959177e-17
4       -2.31000000e+11    1.58655367e-17    1.24024122e-17   -1.89825704e-18   -1.87057967e-17    0.00000000e+00   -0.00000000e+00    0.00000000e+00   -0.00000000e+00
5       -1.54000000e+11    1.33559917e-12   -1.93554773e-12    1.33555509e-12   -1.93555767e-12    0.00000000e+00    2.55860419e-18    0.00000000e+00   -2.55860419e-18
6       -7.70000000e+10   -1.85420826e-07    1.32266050e-06    1.85420826e-07   -1.32266050e-06    0.00000000e+00    3.50000000e-06    0.00000000e+00   -3.50000000e-06
7        0.00000000e+00    3.10043898e+00    0.00000000e+00    3.10043898e+00    0.00000000e+00    8.50000000e-01    0.00000000e+00    8.50000000e-01    0.00000000e+00
8        7.70000000e+10   -1.85420826e-07   -1.32266050e-06    1.85420826e-07    1.32266050e-06    0.00000000e+00   -3.50000000e-06    0.00000000e+00    3.50000000e-06
9        1.54000000e+11    1.33559917e-12    1.93554773e-12    1.33555509e-12    1.93555767e-12    0.00000000e+00   -2.55860419e-18    0.00000000e+00    2.55860419e-18
10       2.31000000e+11    1.58655367e-17   -1.24024122e-17   -1.89825704e-18    1.87057967e-17    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
11       3.08000000e+11   -3.51673401e-17    1.74795995e-17   -2.52941563e-17    2.90158473e-17    0.00000000e+00    1.03959177e-17    0.00000000e+00   -1.03959177e-17
12       3.85000000e+11   -5.17693468e-17    1.87471581e-17   -7.00951566e-17    2.11411200e-17    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
13       4.62000000e+11    1.17032956e-17   -2.76311903e-17   -7.12050978e-19   -2.30194179e-17    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
14       5.39000000e+11   -3.74684841e-17   -2.44513169e-17    3.11832005e-17   -9.49971646e-18    0.00000000e+00   -1.42598561e-17    0.00000000e+00    1.42598561e-17
End of Xyce(TM) Simulation
