Index       TIME             V(OUTP)           V(OUTN)     
0        0.00000000e+00    3.10043861e+00    3.10043935e+00
1        8.65800866e-13    3.10043972e+00    3.10043824e+00
2        1.73160173e-12    3.10044070e+00    3.10043726e+00
3        2.59740260e-12    3.10044138e+00    3.10043658e+00
4        3.46320346e-12    3.10044165e+00    3.10043631e+00
5        4.32900433e-12    3.10044146e+00    3.10043650e+00
6        5.19480519e-12    3.10044083e+00    3.10043713e+00
7        6.06060606e-12    3.10043989e+00    3.10043807e+00
8        6.92640693e-12    3.10043879e+00    3.10043917e+00
9        7.79220779e-12    3.10043773e+00    3.10044023e+00
10       8.65800866e-12    3.10043687e+00    3.10044109e+00
11       9.52380952e-12    3.10043639e+00    3.10044157e+00
12       1.03896104e-11    3.10043635e+00    3.10044161e+00
13       1.12554113e-11    3.10043677e+00    3.10044119e+00
14       1.21212121e-11    3.10043757e+00    3.10044039e+00
End of Xyce(TM) Simulation
