Index       FREQ           Re(V(OUTP))       Im(V(OUTP))       Re(V(OUTN))       Im(V(OUTN))       Re(I(VCC))        Im(I(VCC))    
0       -5.39000000e+11   -1.47224520e-05   -6.75200322e-06    1.25402442e-05   -2.01632368e-06   -4.36441568e-08   -1.75366538e-07
1       -4.62000000e+11   -3.60069046e-05    3.48181260e-05   -3.42495695e-05    3.63022577e-05   -1.40512948e-06    1.42240767e-06
2       -3.85000000e+11    1.20381956e-04    1.42622399e-04   -1.22637089e-04   -1.41208311e-04   -4.51026445e-08    2.82817593e-08
3       -3.08000000e+11    5.42006960e-04   -1.35629076e-04    5.41542810e-04   -1.35303177e-04    2.16709954e-05   -5.41864507e-06
4       -2.31000000e+11   -7.88808265e-05   -2.08397332e-03    7.93742213e-05    2.08453772e-03    9.86789673e-09    1.12880932e-08
5       -1.54000000e+11   -1.26239762e-02   -2.30800291e-03   -1.26237831e-02   -2.30785825e-03   -5.04955185e-04   -9.23172232e-05
6       -7.70000000e+10    7.78141287e-02    1.14900130e-01   -7.78141465e-02   -1.14900246e-01   -3.55839276e-10   -2.32824715e-09
7        0.00000000e+00    2.49024979e+00    0.00000000e+00    2.49024978e+00    0.00000000e+00   -3.23900086e-02    0.00000000e+00
8        7.70000000e+10    7.78141287e-02   -1.14900130e-01   -7.78141465e-02    1.14900246e-01   -3.55839276e-10    2.32824715e-09
9        1.54000000e+11   -1.26239762e-02    2.30800291e-03   -1.26237831e-02    2.30785825e-03   -5.04955185e-04    9.23172232e-05
10       2.31000000e+11   -7.88808265e-05    2.08397332e-03    7.93742213e-05   -2.08453772e-03    9.86789673e-09   -1.12880932e-08
11       3.08000000e+11    5.42006960e-04    1.35629076e-04    5.41542810e-04    1.35303177e-04    2.16709954e-05    5.41864507e-06
12       3.85000000e+11    1.20381956e-04   -1.42622399e-04   -1.22637089e-04    1.41208311e-04   -4.51026445e-08   -2.82817593e-08
13       4.62000000e+11   -3.60069046e-05   -3.48181260e-05   -3.42495695e-05   -3.63022577e-05   -1.40512948e-06   -1.42240767e-06
14       5.39000000e+11   -1.47224520e-05    6.75200322e-06    1.25402442e-05    2.01632368e-06   -4.36441568e-08    1.75366538e-07
End of Xyce(TM) Simulation
