Index       TIME             V(OUTP)           V(OUTN)     
0        0.00000000e+00    2.62169565e+00    2.31032706e+00
1        8.65800866e-13    2.70142297e+00    2.23786644e+00
2        1.73160173e-12    2.75940525e+00    2.21500823e+00
3        2.59740260e-12    2.77807847e+00    2.23911045e+00
4        3.46320346e-12    2.73310902e+00    2.30050524e+00
5        4.32900433e-12    2.62669899e+00    2.38533751e+00
6        5.19480519e-12    2.49161857e+00    2.48083157e+00
7        6.06060606e-12    2.36324541e+00    2.57654072e+00
8        6.92640693e-12    2.26809589e+00    2.66367442e+00
9        7.79220779e-12    2.22019347e+00    2.73385744e+00
10       8.65800866e-12    2.22166539e+00    2.77535552e+00
11       9.52380952e-12    2.26596728e+00    2.76438786e+00
12       1.03896104e-11    2.34086658e+00    2.68589602e+00
13       1.12554113e-11    2.43243939e+00    2.56037128e+00
14       1.21212121e-11    2.52924446e+00    2.42467697e+00
End of Xyce(TM) Simulation
