Index       FREQ            Re(V(C1))         Im(V(C1))         Re(V(C2))         Im(V(C2))        Re(I(VCC))        Im(I(VCC))    
0       -5.39000000e+11   -5.04939324e-09   -8.69886082e-09    8.35501141e-09    5.40913770e-09    3.08810142e-11    2.99609940e-11
1       -4.62000000e+11   -7.46676876e-08    1.24731216e-07   -7.44443263e-08    1.24940567e-07   -2.71950042e-09   -1.54961799e-09
2       -3.85000000e+11    4.03933654e-07    4.06892120e-07   -4.03866807e-07   -4.06608329e-07   -3.64274129e-12    9.52969067e-13
3       -3.08000000e+11   -8.60010337e-06    4.74192630e-06   -8.60011387e-06    4.74191275e-06   -1.61514941e-07   -2.72794073e-07
4       -2.31000000e+11   -5.32446340e-05   -1.44957838e-05    5.32446321e-05    1.44957874e-05   -7.86093644e-14   -3.71689650e-14
5       -1.54000000e+11    1.69911266e-05   -1.22290867e-04    1.69911272e-05   -1.22290866e-04    7.93648551e-06    6.10490049e-07
6       -7.70000000e+10   -1.76637537e-02    5.36302091e-03    1.76637537e-02   -5.36302091e-03    2.48452738e-16   -4.07816024e-16
7        0.00000000e+00    3.29430000e+00    0.00000000e+00    3.29430000e+00    0.00000000e+00   -6.00000001e-03    0.00000000e+00
8        7.70000000e+10   -1.76637537e-02   -5.36302091e-03    1.76637537e-02    5.36302091e-03    2.48452738e-16    4.07816024e-16
9        1.54000000e+11    1.69911266e-05    1.22290867e-04    1.69911272e-05    1.22290866e-04    7.93648551e-06   -6.10490049e-07
10       2.31000000e+11   -5.32446340e-05    1.44957838e-05    5.32446321e-05   -1.44957874e-05   -7.86093644e-14    3.71689650e-14
11       3.08000000e+11   -8.60010337e-06   -4.74192630e-06   -8.60011387e-06   -4.74191275e-06   -1.61514941e-07    2.72794073e-07
12       3.85000000e+11    4.03933654e-07   -4.06892120e-07   -4.03866807e-07    4.06608329e-07   -3.64274129e-12   -9.52969067e-13
13       4.62000000e+11   -7.46676876e-08   -1.24731216e-07   -7.44443263e-08   -1.24940567e-07   -2.71950042e-09    1.54961799e-09
14       5.39000000e+11   -5.04939324e-09    8.69886082e-09    8.35501141e-09   -5.40913770e-09    3.08810142e-11   -2.99609940e-11
End of Xyce(TM) Simulation
