Index       TIME              V(C1)             V(C2)      
0        0.00000000e+00    3.25888343e+00    3.32974984e+00
1        8.65800866e-13    3.26618169e+00    3.32212325e+00
2        1.73160173e-12    3.27846806e+00    3.30966750e+00
3        2.59740260e-12    3.29350287e+00    3.29472632e+00
4        3.46320346e-12    3.30866072e+00    3.27995075e+00
5        4.32900433e-12    3.32135666e+00    3.26766631e+00
6        5.19480519e-12    3.32937723e+00    3.25972622e+00
7        6.06060606e-12    3.33126667e+00    3.25755670e+00
8        6.92640693e-12    3.32665484e+00    3.26179975e+00
9        7.79220779e-12    3.31636875e+00    3.27182595e+00
10       8.65800866e-12    3.30233999e+00    3.28580288e+00
11       9.52380952e-12    3.28716044e+00    3.30123277e+00
12       1.03896104e-11    3.27337176e+00    3.31546762e+00
13       1.12554113e-11    3.26305244e+00    3.32606492e+00
14       1.21212121e-11    3.25785445e+00    3.33113922e+00
End of Xyce(TM) Simulation
