freq_Hz,mine_displacement_um,ground_displacement_um
0.000000000000000000e+00,2.290995417833598502e+00,5.967242599954593156e-03
1.562500000000000000e+01,2.011276875167306688e+00,5.195269922505948990e-03
3.125000000000000000e+01,7.555092282637777545e-01,1.956425115981483016e-03
4.687500000000000000e+01,8.818032765825689623e-02,2.256138587524450729e-04
6.250000000000000000e+01,2.040893415404172392e-02,3.436512302175389005e-05
7.812500000000000000e+01,4.964686714766459834e-03,2.022881577656870960e-05
9.375000000000000000e+01,1.550301483289384880e-03,2.336107414771621820e-05
1.093750000000000000e+02,9.700698680088382098e-03,1.860979419314093665e-05
1.250000000000000000e+02,6.060755942978538618e-02,1.206326097360342285e-05
1.406250000000000000e+02,3.664197379278069655e-01,1.532811229838642000e-05
1.562500000000000000e+02,4.178634805061605673e-01,8.616809125811206193e-06
1.718750000000000000e+02,1.088389716323305279e-01,1.098252997681459136e-05
1.875000000000000000e+02,1.221630721593647793e-02,1.028817932801487940e-05
2.031250000000000000e+02,3.546585447817903955e-03,8.686981510296186307e-06
2.187500000000000000e+02,1.376495222464672267e-03,7.169415744557935373e-06
2.343750000000000000e+02,5.940539029046832970e-04,6.669233264648090312e-06
2.500000000000000000e+02,2.640657132089218391e-04,7.034222640260553575e-06
2.656250000000000000e+02,1.518630970392035966e-04,7.367785783445244341e-06
2.812500000000000000e+02,1.367894648694442162e-04,7.169795948529225833e-06
2.968750000000000000e+02,1.353196589361931631e-04,6.498579202419813740e-06
3.125000000000000000e+02,1.294924738905248976e-04,5.781411500438269280e-06
3.281250000000000000e+02,1.044401017744995094e-04,5.447373889399875122e-06
3.437500000000000000e+02,1.041300601283726254e-04,5.548114665930322990e-06
3.593750000000000000e+02,1.063761661720307383e-04,5.749771774418569680e-06
3.750000000000000000e+02,1.027205378877062646e-04,5.757444508432988226e-06
3.906250000000000000e+02,8.821516065973328746e-05,5.526389572940032941e-06
4.062500000000000000e+02,6.695796569612720659e-05,5.219346091877192146e-06
4.218750000000000000e+02,4.703919297567720094e-05,5.041568222703392533e-06
4.375000000000000000e+02,3.725172612857683557e-05,5.042394460525289192e-06
4.531250000000000000e+02,3.587120724908555124e-05,5.112584039477702222e-06
4.687500000000000000e+02,3.244081190699094649e-05,5.128476733740827181e-06
4.843750000000000000e+02,2.311454093718673952e-05,5.088671118651122409e-06
5.000000000000000000e+02,1.613299058117658856e-05,5.060377678078810058e-06
