 6.00000000e+10 -3.52676192e+01  6.00000000e+10 -4.25243000e-01 
 6.02010050e+10 -3.53861586e+01  6.02010050e+10 -4.25424172e-01 
 6.04020101e+10 -3.55047004e+01  6.04020101e+10 -4.25606388e-01 
 6.06030151e+10 -3.56232445e+01  6.06030151e+10 -4.25789651e-01 
 6.08040201e+10 -3.57417908e+01  6.08040201e+10 -4.25973964e-01 
 6.10050251e+10 -3.58603394e+01  6.10050251e+10 -4.26159328e-01 
 6.12060302e+10 -3.59788902e+01  6.12060302e+10 -4.26345748e-01 
 6.14070352e+10 -3.60974433e+01  6.14070352e+10 -4.26533226e-01 
 6.16080402e+10 -3.62159985e+01  6.16080402e+10 -4.26721764e-01 
 6.18090452e+10 -3.63345559e+01  6.18090452e+10 -4.26911365e-01 
 6.20100503e+10 -3.64531155e+01  6.20100503e+10 -4.27102032e-01 
 6.22110553e+10 -3.65716773e+01  6.22110553e+10 -4.27293767e-01 
 6.24120603e+10 -3.66902411e+01  6.24120603e+10 -4.27486573e-01 
 6.26130653e+10 -3.68088071e+01  6.26130653e+10 -4.27680453e-01 
 6.28140704e+10 -3.69273752e+01  6.28140704e+10 -4.27875409e-01 
 6.30150754e+10 -3.70459453e+01  6.30150754e+10 -4.28071443e-01 
 6.32160804e+10 -3.71645175e+01  6.32160804e+10 -4.28268559e-01 
 6.34170854e+10 -3.72830918e+01  6.34170854e+10 -4.28466759e-01 
 6.36180905e+10 -3.74016680e+01  6.36180905e+10 -4.28666044e-01 
 6.38190955e+10 -3.75202463e+01  6.38190955e+10 -4.28866419e-01 
 6.40201005e+10 -3.76388265e+01  6.40201005e+10 -4.29067885e-01 
 6.42211055e+10 -3.77574087e+01  6.42211055e+10 -4.29270444e-01 
 6.44221106e+10 -3.78759928e+01  6.44221106e+10 -4.29474099e-01 
 6.46231156e+10 -3.79945789e+01  6.46231156e+10 -4.29678854e-01 
 6.48241206e+10 -3.81131668e+01  6.48241206e+10 -4.29884708e-01 
 6.50251256e+10 -3.82317567e+01  6.50251256e+10 -4.30091667e-01 
 6.52261307e+10 -3.83503483e+01  6.52261307e+10 -4.30299730e-01 
 6.54271357e+10 -3.84689419e+01  6.54271357e+10 -4.30508902e-01 
 6.56281407e+10 -3.85875372e+01  6.56281407e+10 -4.30719184e-01 
 6.58291457e+10 -3.87061344e+01  6.58291457e+10 -4.30930579e-01 
 6.60301508e+10 -3.88247333e+01  6.60301508e+10 -4.31143088e-01 
 6.62311558e+10 -3.89433340e+01  6.62311558e+10 -4.31356715e-01 
 6.64321608e+10 -3.90619364e+01  6.64321608e+10 -4.31571461e-01 
 6.66331658e+10 -3.91805405e+01  6.66331658e+10 -4.31787328e-01 
 6.68341709e+10 -3.92991463e+01  6.68341709e+10 -4.32004319e-01 
 6.70351759e+10 -3.94177538e+01  6.70351759e+10 -4.32222436e-01 
 6.72361809e+10 -3.95363629e+01  6.72361809e+10 -4.32441681e-01 
 6.74371859e+10 -3.96549737e+01  6.74371859e+10 -4.32662056e-01 
 6.76381910e+10 -3.97735860e+01  6.76381910e+10 -4.32883563e-01 
 6.78391960e+10 -3.98922000e+01  6.78391960e+10 -4.33106205e-01 
 6.80402010e+10 -4.00108155e+01  6.80402010e+10 -4.33329983e-01 
 6.82412060e+10 -4.01294325e+01  6.82412060e+10 -4.33554899e-01 
 6.84422111e+10 -4.02480510e+01  6.84422111e+10 -4.33780956e-01 
 6.86432161e+10 -4.03666710e+01  6.86432161e+10 -4.34008155e-01 
 6.88442211e+10 -4.04852925e+01  6.88442211e+10 -4.34236498e-01 
 6.90452261e+10 -4.06039154e+01  6.90452261e+10 -4.34465987e-01 
 6.92462312e+10 -4.07225398e+01  6.92462312e+10 -4.34696625e-01 
 6.94472362e+10 -4.08411655e+01  6.94472362e+10 -4.34928413e-01 
 6.96482412e+10 -4.09597926e+01  6.96482412e+10 -4.35161353e-01 
 6.98492462e+10 -4.10784211e+01  6.98492462e+10 -4.35395446e-01 
 7.00502513e+10 -4.11970509e+01  7.00502513e+10 -4.35630695e-01 
 7.02512563e+10 -4.13156820e+01  7.02512563e+10 -4.35867102e-01 
 7.04522613e+10 -4.14343143e+01  7.04522613e+10 -4.36104668e-01 
 7.06532663e+10 -4.15529479e+01  7.06532663e+10 -4.36343394e-01 
 7.08542714e+10 -4.16715827e+01  7.08542714e+10 -4.36583283e-01 
 7.10552764e+10 -4.17902187e+01  7.10552764e+10 -4.36824337e-01 
 7.12562814e+10 -4.19088559e+01  7.12562814e+10 -4.37066556e-01 
 7.14572864e+10 -4.20274943e+01  7.14572864e+10 -4.37309943e-01 
 7.16582915e+10 -4.21461337e+01  7.16582915e+10 -4.37554499e-01 
 7.18592965e+10 -4.22647743e+01  7.18592965e+10 -4.37800226e-01 
 7.20603015e+10 -4.23834159e+01  7.20603015e+10 -4.38047125e-01 
 7.22613065e+10 -4.25020586e+01  7.22613065e+10 -4.38295198e-01 
 7.24623116e+10 -4.26207023e+01  7.24623116e+10 -4.38544447e-01 
 7.26633166e+10 -4.27393470e+01  7.26633166e+10 -4.38794872e-01 
 7.28643216e+10 -4.28579926e+01  7.28643216e+10 -4.39046476e-01 
 7.30653266e+10 -4.29766392e+01  7.30653266e+10 -4.39299260e-01 
 7.32663317e+10 -4.30952867e+01  7.32663317e+10 -4.39553225e-01 
 7.34673367e+10 -4.32139351e+01  7.34673367e+10 -4.39808372e-01 
 7.36683417e+10 -4.33325844e+01  7.36683417e+10 -4.40064703e-01 
 7.38693467e+10 -4.34512345e+01  7.38693467e+10 -4.40322219e-01 
 7.40703518e+10 -4.35698854e+01  7.40703518e+10 -4.40580922e-01 
 7.42713568e+10 -4.36885371e+01  7.42713568e+10 -4.40840813e-01 
 7.44723618e+10 -4.38071895e+01  7.44723618e+10 -4.41101893e-01 
 7.46733668e+10 -4.39258427e+01  7.46733668e+10 -4.41364162e-01 
 7.48743719e+10 -4.40444965e+01  7.48743719e+10 -4.41627624e-01 
 7.50753769e+10 -4.41631511e+01  7.50753769e+10 -4.41892277e-01 
 7.52763819e+10 -4.42818062e+01  7.52763819e+10 -4.42158125e-01 
