time_ns,ADC_P,ADC_N,DIGIF_P,DIGIF_N
0.0,1.19999955,1.19999955,3.19877898,3.19877898
0.0757110956,1.20512992,1.1840372,3.18259834,3.21477135
0.17059177,1.18379541,1.19817849,3.21067469,3.18702032
0.27059177,1.18829572,1.20187937,3.20870071,3.1888478
0.37059177,1.19289915,1.20092179,3.20340753,3.19423009
0.47059176999999996,1.19527176,1.20016024,3.20045924,3.19708411
0.57059177,1.19643863,1.19989792,3.1991961,3.19837244
0.67059177,1.19712067,1.20000954,3.19872876,3.19887163
0.77059177,1.19720977,1.1999217,3.1985615,3.1989541
0.87059177,1.19749257,1.20015319,3.19859475,3.1990179
0.9705917700000001,1.19754674,1.20015886,3.19853072,3.19899321
1.07059177,1.1977375,1.20021577,3.19848827,3.19908187
1.17059177,1.1980265,1.20035704,3.19840561,3.19917837
1.27059177,1.19809317,1.2002535,3.19829091,3.1992266
1.3705917699999999,1.19842909,1.20041929,3.19826249,3.19934554
1.47059177,1.1985062,1.20037667,3.19817873,3.19934391
1.57059177,1.1986892,1.20041545,3.19817226,3.19939796
1.67059177,1.19891569,1.20055262,3.19816465,3.19941639
1.77059177,1.19889034,1.20047605,3.1981704,3.19934924
1.87059177,1.19898964,1.20070015,3.19837473,3.19922736
1.9705917700000002,1.19822101,1.20091418,3.19911995,3.19839319
2.0705917699999996,1.19673477,1.19859035,3.1984722,3.19908205
2.1705917699999997,1.19684211,1.19078346,3.19246749,3.20504168
2.27059177,1.19853144,1.18415997,3.1868427,3.21068159
2.37059177,1.19984418,1.18126194,3.18498482,3.21261011
2.47059177,1.20019128,1.18033872,3.18548303,3.21204255
2.57059177,1.20041608,1.18073361,3.18710099,3.21049928
2.6705917699999997,1.2003054,1.18098373,3.18864014,3.20891273
2.77059177,1.20008982,1.17872341,3.18819841,3.20934232
2.87059177,1.20159403,1.18097796,3.18997571,3.20766407
2.97059177,1.20208643,1.1873691,3.19540517,3.20215653
3.07059177,1.20101241,1.19212419,3.20020989,3.19737233
3.17059177,1.20046,1.19485177,3.20256905,3.19503884
3.2705917700000002,1.20006957,1.19620476,3.20342071,3.19410877
3.37059177,1.20013436,1.1972558,3.20368824,3.19392778
3.47059177,1.20009661,1.19780826,3.2035608,3.19397756
3.57059177,1.20009512,1.19824754,3.20335679,3.19420909
3.67059177,1.20024548,1.19867539,3.2030864,3.19450953
3.77059177,1.20012724,1.19877541,3.20272646,3.19479161
3.87059177,1.20026326,1.19908527,3.2024589,3.19514818
3.97059177,1.20022271,1.19916138,3.20211333,3.19541778
4.07059177,1.20019439,1.1992724,3.20184441,3.19571558
4.17059177,1.20031425,1.19946581,3.20158951,3.1960017
4.27059177,1.20017045,1.19939089,3.20128466,3.1962298
4.37059177,1.20028429,1.19956583,3.20109239,3.19651159
4.47059177,1.20023051,1.1995388,3.20083183,3.19669717
4.57059177,1.20019198,1.19957034,3.20065324,3.19690482
4.670591770000001,1.20030395,1.1997034,3.20049123,3.19709857
4.77059177,1.20015571,1.19957994,3.20027568,3.19723768
4.87059177,1.20026563,1.19971467,3.20016771,3.19743508
4.9705917699999995,1.20021218,1.19965792,3.19998793,3.19754085
5.07059177,1.20017201,1.19966398,3.19988476,3.19767235
5.17059177,1.20028501,1.19977867,3.19979369,3.19779597
5.27059177,1.20013738,1.1996395,3.19964351,3.19786938
5.37059177,1.20024623,1.1997627,3.19959744,3.1980047
5.47059177,1.20019701,1.19969759,3.19947231,3.19805694
5.57059177,1.20015555,1.19969387,3.19941935,3.19813694
5.670591770000001,1.20027082,1.19980622,3.19937695,3.19821314
5.77059177,1.20012457,1.19966407,3.19926973,3.19824285
5.870591770000001,1.20023183,1.19978435,3.19926388,3.19833782
5.97059177,1.20018671,1.19971527,3.19917055,3.19835948
6.07059177,1.20014441,1.19970698,3.19914747,3.19840785
6.17059177,1.2002619,1.19982069,3.19913527,3.19845555
6.270591769999999,1.20011584,1.19967884,3.19905478,3.19845745
6.37059177,1.2002218,1.19979756,3.1990723,3.19852901
6.4705917699999995,1.20018024,1.19973093,3.19900027,3.19853068
6.57059177,1.20013464,1.19971912,3.19899512,3.19855912
6.67059177,1.200255,1.19983577,3.19900061,3.19859106
6.77059177,1.20010883,1.19969379,3.19893477,3.19857707
6.87059177,1.20021355,1.19981414,3.19896757,3.19863336
6.97059177,1.20017486,1.19974722,3.19890563,3.19862629
7.07059177,1.20012709,1.19973247,3.19890955,3.19864363
7.170591770000001,1.20024943,1.19985041,3.19892473,3.19866778
7.270591769999999,1.20010298,1.19970955,3.19886809,3.19864339
7.37059177,1.20020575,1.19982882,3.19890868,3.19869184
7.47059177,1.20017026,1.19976469,3.19885374,3.19867911
7.57059177,1.20011969,1.19974631,3.19886203,3.19869018
7.670591770000001,1.20024349,1.19986677,3.19888386,3.1987094
7.77059177,1.200097,1.19972574,3.19883148,3.19867971
7.870591769999999,1.20019834,1.19984254,3.19887504,3.19872509
7.97059177,1.20016469,1.19978113,3.19882503,3.19870867
8.07059177,1.20011259,1.19976005,3.19883499,3.19871645
8.17059177,1.20023731,1.1998819,3.19886049,3.19873332
8.27059177,1.20009051,1.19974132,3.19881123,3.19869979
8.37059177,1.20018989,1.19985802,3.19885815,3.19874155
8.47059177,1.20015864,1.19979806,3.19880991,3.19872453
8.57059177,1.20010531,1.19977253,3.19881871,3.19873213
8.67059177,1.2002307,1.19989523,3.19884626,3.19874789
8.770591770000001,1.20008415,1.19975496,3.19879874,3.19871223
8.87059177,1.2001815,1.19987093,3.19884768,3.19875158
8.97059177,1.20015046,1.19981354,3.19880284,3.19873222
9.07059177,1.20009764,1.19978399,3.19880882,3.19874165
9.17059177,1.20022285,1.19990573,3.19883666,3.19875761
9.27059177,1.2000766,1.19976738,3.1987917,3.19871938
9.370591769999999,1.20017211,1.1998824,3.1988417,3.19875712
9.47059177,1.20014052,1.19982832,3.19880085,3.19873467
9.57059177,1.20008865,1.19979452,3.19880323,3.19874712
9.67059177,1.20021235,1.19991547,3.19883183,3.1987622
9.77059177,1.2000676,1.19977746,3.19878703,3.19872433
9.87059177,1.20016066,1.19989258,3.19883904,3.19875931
9.97059177,1.20012843,1.19983939,3.19879981,3.19873603
10.0705918,1.20007719,1.1998045,3.19880148,3.19874908
10.170591799999999,1.20019798,1.19992338,3.19882996,3.19876352
10.2705918,1.20005331,1.19978689,3.1987873,3.19872457
10.3705918,1.20014409,1.199902,3.19884054,3.19875732
10.470591800000001,1.20011008,1.19985039,3.19880355,3.19873238
10.570591799999999,1.20005981,1.19981345,3.19880357,3.19874766
10.6705918,1.20017539,1.19992988,3.19883228,3.19876011
10.7705918,1.20003065,1.19979542,3.19879229,3.19872045
10.870591800000001,1.2001177,1.19991061,3.19884737,3.19874994
10.9705918,1.20007757,1.19985969,3.19881426,3.19872141
11.070591799999999,1.20003019,1.19982353,3.19881341,3.19873913
11.1705918,1.20013794,1.19993237,3.19883856,3.19875192
11.2705918,1.19999241,1.19980176,3.19880344,3.19871072
11.3705918,1.20007436,1.19991729,3.19886085,3.19873579
11.4705918,1.20002374,1.19986557,3.19883239,3.19870252
11.5705918,1.19997817,1.19983491,3.19883545,3.19871944
11.6705918,1.20007297,1.19993085,3.19885382,3.19873341
11.7705918,1.19992605,1.1998052,3.19882501,3.19869149
11.8705918,1.19999866,1.19992251,3.19888769,3.19870807
11.970591800000001,1.19993042,1.19986864,3.19886585,3.19866759
12.0705918,1.1998864,1.19984929,3.1988777,3.19868084
12.170591799999999,1.1999603,1.19992571,3.19888604,3.19869646
12.2705918,1.19980835,1.19980659,3.19886709,3.1986527
12.3705918,1.1998661,1.19992546,3.19893633,3.19865826
12.4705918,1.19977016,1.19987221,3.19892793,3.19860364
12.570591799999999,1.19972609,1.19986548,3.19894839,3.19861421
12.6705918,1.19976783,1.1999264,3.19895475,3.19862295
12.7705918,1.19960278,1.19981815,3.19895093,3.1985718
12.8705918,1.19963972,1.19994248,3.1990296,3.19856399
12.9705918,1.19952059,1.19989477,3.19903094,3.19849946
13.0705918,1.19947378,1.19990213,3.19905657,3.19850835
13.1705918,1.1995012,1.19995345,3.19905079,3.1985245
13.2705918,1.19933205,1.19985446,3.19904891,3.19847513
13.3705918,1.19936969,1.19998137,3.19911759,3.1984756
13.4705918,1.19925745,1.19993774,3.1991065,3.19842375
13.5705918,1.19922929,1.19995084,3.19911513,3.1984506
13.670591799999999,1.1992751,1.19999578,3.19908279,3.19849189
13.7705918,1.19913044,1.19989166,3.19905559,3.19846903
13.8705918,1.19918951,1.20001565,3.19910479,3.19848831
13.970591800000001,1.19910024,1.19997124,3.19907699,3.19845352
14.070591799999999,1.19909554,1.19998701,3.19907344,3.19849268
14.1705918,1.19916748,1.20002864,3.19902289,3.19855167
14.2705918,1.19905081,1.19991599,3.19897488,3.19855014
14.370591800000001,1.19913059,1.20003354,3.19901227,3.19858077
14.4705918,1.19905681,1.19998961,3.19898332,3.19854748
14.5705918,1.19906777,1.20000477,3.19897809,3.19858823
14.6705918,1.19915285,1.20005006,3.19893041,3.19864405
14.7705918,1.19905696,1.19992836,3.19887024,3.19865506
14.8705918,1.19914837,1.20004045,3.19890599,3.19868694
14.970591800000001,1.19908046,1.19999601,3.19888401,3.19864702
15.070591799999999,1.19909522,1.2000138,3.19888917,3.19867725
15.1705918,1.1991854,1.20005891,3.19884705,3.19872726
15.2705918,1.1990972,1.19993622,3.19878979,3.19873574
15.370591800000001,1.19919371,1.20004605,3.19882877,3.19876401
15.4705918,1.19912925,1.20000158,3.19881266,3.19871858
15.570591799999999,1.19914583,1.20002053,3.19882556,3.1987409
15.6705918,1.1992356,1.20007021,3.19879419,3.19878002
15.770591800000002,1.19915689,1.19994367,3.19873285,3.19879284
15.8705918,1.1992589,1.20004857,3.1987702,3.19882241
15.9705918,1.19919525,1.20000375,3.19875965,3.19877182
16.070591800000003,1.19921023,1.20002418,3.19878081,3.19878559
16.170591799999997,1.19929943,1.20007685,3.19875694,3.19881722
16.2705918,1.19922643,1.19994609,3.19869227,3.19883349
16.3705918,1.19932994,1.20004723,3.19873005,3.1988624
16.4705918,1.19926485,1.20000316,3.19872563,3.19880608
16.5705918,1.19927554,1.20002541,3.19875523,3.19881101
16.6705918,1.1993584,1.20008676,3.19874579,3.19882843
16.770591800000002,1.19929374,1.19994987,3.1986714,3.19885436
16.870591800000003,1.19939879,1.20004803,3.19870805,3.19888423
16.970591799999998,1.19933432,1.20000188,3.19870433,3.19882767
17.0705918,1.1993402,1.20002578,3.1987411,3.19882487
17.1705918,1.19941935,1.20009111,3.19873903,3.19883535
17.2705918,1.19935421,1.19995961,3.19866981,3.1988559
17.3705918,1.19946772,1.20004774,3.19869253,3.19889963
17.4705918,1.19940472,1.1999997,3.19868812,3.19884419
17.570591800000003,1.19940678,1.20002161,3.1987279,3.19883774
17.6705918,1.19948126,1.20009007,3.19873343,3.19884112
17.7705918,1.19941366,1.19995986,3.19866754,3.19885805
17.8705918,1.19952659,1.20004691,3.19869014,3.1989019
17.9705918,1.19946443,1.19999774,3.19868462,3.19884803
18.0705918,1.19946127,1.20002097,3.19872956,3.19883573
18.1705918,1.19953256,1.20009331,3.19874054,3.19883424
18.270591800000002,1.1994611,1.19997046,3.19868208,3.19884339
18.3705918,1.19958228,1.20004874,3.19869014,3.19890179
18.4705918,1.19952475,1.19999553,3.19867802,3.19885498
18.5705918,1.19951742,1.20001836,3.19872628,3.1988386
18.6705918,1.19958578,1.20009324,3.19874208,3.19883296
18.7705918,1.19951223,1.19997105,3.19868533,3.19883999
18.8705918,1.19963317,1.20004814,3.19869233,3.19889949
18.9705918,1.19957668,1.19999502,3.1986794,3.19885397
19.070591800000003,1.19956633,1.20001678,3.19872867,3.1988358
19.1705918,1.19963204,1.20009455,3.19874878,3.19882651
19.2705918,1.19955325,1.19997758,3.19869923,3.19882593
19.3705918,1.19967874,1.20004898,3.19869702,3.19889469
19.470591799999998,1.19962455,1.19999523,3.1986816,3.19885215
19.5705918,1.1996116,1.20001542,3.19873103,3.19883299
19.6705918,1.19967506,1.20009599,3.19875504,3.19882061
19.770591800000002,1.19959272,1.19998259,3.19870986,3.19881511
19.8705918,1.19972032,1.20005135,3.19870283,3.19888878
19.9705918,1.19967026,1.19999496,3.19868182,3.19885232
20.0705918,1.19965592,1.20001211,3.19872961,3.19883395
20.1705918,1.19971756,1.20009419,3.19875667,3.19881929
20.2705918,1.19962706,1.19998838,3.19872317,3.19880163
20.3705918,1.19975665,1.20005459,3.19871131,3.1988802
20.4705918,1.19971276,1.1999937,3.19868129,3.19885332
20.570591800000003,1.19969765,1.20000581,3.19872585,3.19883725
20.6705918,1.19975541,1.20009165,3.19875954,3.19881675
20.770591800000002,1.19965916,1.19999036,3.19873305,3.19879158
20.8705918,1.19978464,1.20006091,3.19872652,3.19886488
20.970591799999998,1.19974829,1.1999943,3.1986849,3.19885011
21.0705918,1.19973395,1.20000138,3.19872421,3.1988384
21.1705918,1.19978944,1.20008991,3.19876225,3.19881438
21.270591800000002,1.19969003,1.19999007,3.19873871,3.19878572
21.3705918,1.1998139,1.20006038,3.19873261,3.19885868
21.4705918,1.19977923,1.19999408,3.19868949,3.19884592
21.5705918,1.19976306,1.19999934,3.19872793,3.1988342
21.6705918,1.1998178,1.20008944,3.19876773,3.19880925
21.7705918,1.19971688,1.19998947,3.19874438,3.19877985
21.8705918,1.19983467,1.20006533,3.19874645,3.19884471
21.9705918,1.19980598,1.19999511,3.19869449,3.19884133
22.0705918,1.19979005,1.19999655,3.19872875,3.19883289
22.1705918,1.19984327,1.20008926,3.19877201,3.19880533
22.270591800000002,1.19973816,1.19999263,3.19875363,3.19877041
22.3705918,1.19985396,1.20006933,3.19875681,3.19883424
22.470591799999998,1.19982971,1.19999714,3.19869907,3.19883717
22.5705918,1.19981427,1.19999453,3.19872899,3.19883215
22.6705918,1.19986872,1.20008678,3.19877132,3.19880637
22.770591800000002,1.199761,1.19999127,3.19875558,3.19876827
22.8705918,1.19986813,1.20007587,3.19877133,3.19881961
22.9705918,1.19985004,1.19999983,3.19870462,3.19883204
23.070591800000003,1.19983835,1.19998943,3.19872481,3.19883582
23.170591799999997,1.19989351,1.20008162,3.1987674,3.19881064
23.2705918,1.19978123,1.19998938,3.19875778,3.19876589
23.3705918,1.19988011,1.20008124,3.19878517,3.19880565
23.4705918,1.19986457,1.20000532,3.19871537,3.19882172
23.5705918,1.19985617,1.19998778,3.19872593,3.19883412
23.6705918,1.19991435,1.20007827,3.19876541,3.19881299
23.770591800000002,1.19979914,1.19998783,3.19875935,3.19876413
23.8705918,1.19989546,1.20008034,3.19878899,3.19880169
23.970591799999998,1.19988104,1.20000556,3.19871905,3.19881848
24.0705918,1.19987196,1.19998539,3.1987273,3.19883226
24.1705918,1.19993013,1.20007725,3.19876812,3.19881064
24.270591800000002,1.19981325,1.19998761,3.19876342,3.19875989
24.3705918,1.19990931,1.2000784,3.19879125,3.19879932
24.4705918,1.19989161,1.20000996,3.19872843,3.19880954
24.570591800000003,1.19988487,1.19998415,3.1987291,3.19882994
24.670591799999997,1.19994528,1.20007516,3.19876775,3.19881137
24.7705918,1.19982568,1.19998754,3.19876643,3.19875672
24.8705918,1.19991661,1.20008218,3.19880082,3.19878962
24.9705918,1.19990037,1.20001487,3.19873698,3.19880143
25.0705918,1.19989621,1.19998318,3.19872987,3.19882866
25.1705918,1.19995857,1.20007373,3.19876702,3.19881245
25.270591800000002,1.19983901,1.19998515,3.19876479,3.19875819
25.370591800000003,1.19992739,1.20008054,3.19880185,3.19878844
25.470591799999998,1.19990522,1.20002236,3.19874955,3.19878931
25.5705918,1.19990564,1.19998263,3.19873105,3.19882697
25.6705918,1.19997455,1.20006768,3.19875921,3.19882062
25.7705918,1.19985196,1.19998152,3.19876172,3.19876111
25.8705918,1.19993648,1.20007907,3.19880368,3.19878646
25.9705918,1.19990802,1.20003037,3.19876361,3.19877571
26.070591800000003,1.19991157,1.19998412,3.19873582,3.19882169
26.1705918,1.19998541,1.20006558,3.19875753,3.19882266
26.2705918,1.19986456,1.19997695,3.19875677,3.19876591
26.3705918,1.19994547,1.20007641,3.19880343,3.19878655
26.4705918,1.1999165,1.20003069,3.19876631,3.19877346
26.5705918,1.19991869,1.19998267,3.19873748,3.19881951
26.6705918,1.19999445,1.20006375,3.19875767,3.19882286
26.770591800000002,1.19987252,1.19997583,3.19875803,3.1987645
26.8705918,1.19995107,1.20007603,3.19880688,3.19878295
26.9705918,1.19992145,1.20003379,3.19877274,3.1987675
27.0705918,1.19992206,1.19998416,3.19874276,3.19881372
27.1705918,1.20000142,1.20006325,3.19875856,3.19882231
27.2705918,1.19988052,1.19997386,3.19875674,3.19876567
27.3705918,1.19995611,1.20007544,3.19880898,3.19878068
27.4705918,1.19992347,1.20003915,3.19878175,3.19875895
27.570591800000003,1.19992402,1.19998646,3.1987481,3.19880786
27.6705918,1.20000854,1.20006181,3.19875696,3.19882425
27.7705918,1.19988868,1.19997106,3.1987533,3.19876897
27.8705918,1.19996256,1.2000726,3.1988072,3.1987823
27.970591799999998,1.19992929,1.20003954,3.19878329,3.19875787
28.0705918,1.19992252,1.19999163,3.19875798,3.19879746
28.1705918,1.20001438,1.20006101,3.19875604,3.19882551
28.270591800000002,1.19989802,1.19996628,3.1987465,3.19877565
28.3705918,1.19996895,1.20006915,3.19880434,3.19878499
28.4705918,1.19993521,1.20003922,3.19878375,3.19875788
28.5705918,1.19991983,1.19999738,3.19876913,3.19878579
28.6705918,1.20001853,1.20006117,3.19875694,3.19882494
28.7705918,1.19990647,1.19996174,3.1987402,3.19878184
28.8705918,1.19997618,1.20006414,3.19879918,3.19878996
28.9705918,1.19994123,1.20003818,3.19878337,3.19875873
29.070591800000003,1.19992321,1.19999589,3.19877001,3.19878439
29.1705918,1.20002317,1.20005999,3.19875743,3.19882478
29.270591800000002,1.19991195,1.19995963,3.1987391,3.19878284
29.3705918,1.19997976,1.20006226,3.19879973,3.19878923
29.470591799999998,1.19994456,1.20003936,3.19878665,3.19875593
29.5705918,1.19992131,1.19999962,3.19877864,3.19877523
29.6705918,1.20002372,1.20006268,3.19876292,3.19881962
29.770591800000002,1.19991541,1.19995919,3.19873936,3.19878249
29.870591800000003,1.19998395,1.20005941,3.19879751,3.19879126
29.970591800000005,1.19994843,1.20003964,3.19878757,3.19875549
30.0705918,1.19991983,1.20000247,3.19878498,3.19876838
30.170591799999997,1.20002651,1.20006261,3.19876351,3.19881935
30.2705918,1.1999211,1.19995615,3.19873524,3.19878652
30.3705918,1.1999883,1.20005598,3.1987945,3.19879407
30.4705918,1.19995267,1.20003916,3.19878749,3.19875605
30.570591800000003,1.19991761,1.20000596,3.19879235,3.19876049
30.670591800000004,1.20002581,1.20006579,3.19876911,3.19881405
30.7705918,1.1999255,1.19995421,3.19873229,3.19878939
30.870591799999996,1.19999383,1.20005101,3.19878865,3.19879972
30.970591799999998,1.19995717,1.20003812,3.19878635,3.19875767
31.0705918,1.19991937,1.20000478,3.19879286,3.19875948
31.1705918,1.200021,1.20007309,3.19878118,3.19880229
31.270591800000002,1.19992811,1.19995383,3.1987314,3.19879022
31.370591800000003,1.19999805,1.20004716,3.19878387,3.19880429
31.470591800000005,1.19996327,1.20003515,3.19878166,3.19876285
31.5705918,1.19992266,1.20000168,3.19879026,3.19876156
31.670591799999997,1.2000245,1.20007126,3.19878009,3.19880369
31.7705918,1.19993215,1.19995166,3.19872962,3.19879195
31.8705918,1.20000312,1.20004199,3.19877906,3.19880889
31.9705918,1.19996713,1.20003419,3.19878177,3.19876323
32.0705918,1.1999227,1.2000017,3.19879355,3.19875775
32.170591800000004,1.20001793,1.20007985,3.19879501,3.19878907
32.2705918,1.19993193,1.19995376,3.198733,3.19878851
32.3705918,1.20000724,1.2000376,3.19877372,3.19881401
32.4705918,1.1999721,1.20003195,3.19877822,3.19876727
32.5705918,1.1999246,1.19999966,3.19879241,3.19875836
32.670591800000004,1.20002004,1.20007903,3.19879517,3.1987892
32.7705918,1.19993477,1.19995252,3.19873215,3.19878932
32.8705918,1.20001008,1.20003441,3.19877136,3.19881614
32.970591799999994,1.19997531,1.20003132,3.19877806,3.19876793
