time_ns,LNA_P,LNA_N,Mixer_IF_P,Mixer_IF_N,IFA_P,IFA_N,VGA_P,VGA_N
0.0,0.887605757,0.887605757,0.84337305,0.84337305,2.80064922,2.80064922,1.35912277,1.35912277
0.0757110956,0.886898315,0.888597211,0.820617634,0.816366019,2.83425945,2.75337655,0.823883725,1.89830863
0.17059177,0.887581639,0.887272556,0.847981284,0.841081363,2.78097914,2.47612987,0.322720831,3.00196023
0.27059177,0.886749788,0.888461028,0.836566073,0.828064803,2.85442123,2.40219128,0.293833456,3.18217074
0.37059177,0.888286697,0.887537537,0.846280577,0.837684583,2.92371089,2.39049052,0.286420099,3.19050245
0.47059176999999996,0.887787259,0.886538484,0.849537463,0.840259352,2.978566,2.38841643,0.281525096,3.17813144
0.57059177,0.887311593,0.88883391,0.837244657,0.827837624,3.02380506,2.38892012,0.279295392,3.15315806
0.67059177,0.887187232,0.887495781,0.855600509,0.84630302,3.06359853,2.39582632,0.281380958,3.11280816
0.77059177,0.888420946,0.886709426,0.839614542,0.829819467,3.09400907,2.39809145,0.283990315,3.05219811
0.87059177,0.887531683,0.888280544,0.847340782,0.837957617,3.12248463,2.40535905,0.291314306,2.97836337
0.9705917700000001,0.886532808,0.887781878,0.850230013,0.840411444,3.14424995,2.41027251,0.29962164,2.89492643
1.07059177,0.888829786,0.887307481,0.837506925,0.827676695,3.16129349,2.41371456,0.309286072,2.81147298
1.17059177,0.887501092,0.887192246,0.855809427,0.846140652,3.17671403,2.42100021,0.322047347,2.73110763
1.27059177,0.886701848,0.888413554,0.839873949,0.82974508,3.18477514,2.42276007,0.333820068,2.6543561
1.3705917699999999,0.88828505,0.887536249,0.847333765,0.837637136,3.19318617,2.42921377,0.349324769,2.5842438
1.47059177,0.887780322,0.88653094,0.850482127,0.840368996,3.19705764,2.43399277,0.365976872,2.51691604
1.57059177,0.887304679,0.888826983,0.837575439,0.827466285,3.19782129,2.4379488,0.38492543,2.4553525
1.67059177,0.887197755,0.887506881,0.855941202,0.846005063,3.19933131,2.44644704,0.409359508,2.39752272
1.77059177,0.888406432,0.886694535,0.840082231,0.829703194,3.19406075,2.44965086,0.436761247,2.34139135
1.87059177,0.887541304,0.888290025,0.84729704,0.837358155,3.19016239,2.45723075,0.477631725,2.28433445
1.9705917700000002,0.886529889,0.887779473,0.850695948,0.840350679,3.18234328,2.46134736,0.562630493,2.19395204
2.0705917699999996,0.888823915,0.887301607,0.83760805,0.827279793,3.17319848,2.46399683,0.716167355,2.04420071
2.1705917699999997,0.887513268,0.88720387,0.856033356,0.845887114,3.16757163,2.4726705,0.900396528,1.86414587
2.27059177,0.886687344,0.88839943,0.840264422,0.829689467,3.15634485,2.47658265,1.09895187,1.66516478
2.37059177,0.888294951,0.8875463,0.847238676,0.837109829,3.14925398,2.48555272,1.30574888,1.45813423
2.47059177,0.887778488,0.886528625,0.850896101,0.840378103,3.14040356,2.49338562,1.51380412,1.2458582
2.57059177,0.887298741,0.888821064,0.837631339,0.827135828,3.12963316,2.49961863,1.72075124,1.03695916
2.6705917699999997,0.887209598,0.887519255,0.85609141,0.845786946,3.12342414,2.51067112,1.91748674,0.836812939
2.77059177,0.888392534,0.886680242,0.840433855,0.829709975,3.11178245,2.51600831,2.09300403,0.655712758
2.87059177,0.887551389,0.888299975,0.847143257,0.836873522,3.1030357,2.52426827,2.23228622,0.519885479
2.97059177,0.88652818,0.887778112,0.851044423,0.840392969,3.09211649,2.53043785,2.28159702,0.474447848
3.07059177,0.888818424,0.887296097,0.837641412,0.827019722,3.08138796,2.53449318,2.30667322,0.45355862
3.17059177,0.887525086,0.887215174,0.85610888,0.845684763,3.07549646,2.5419025,2.32559432,0.441833263
3.2705917700000002,0.886673288,0.88838578,0.840584632,0.829754398,3.06435188,2.54439511,2.33989863,0.430983426
3.37059177,0.888305002,0.887556477,0.847042169,0.836669042,3.0578725,2.55086615,2.35312041,0.424502676
3.47059177,0.887776971,0.886526749,0.851191715,0.840451258,3.04977395,2.55603365,2.3630957,0.418787309
3.57059177,0.88729308,0.888815422,0.837633991,0.826929596,3.04019227,2.56022104,2.37284081,0.413153853
3.67059177,0.887220936,0.887531094,0.856115313,0.845618633,3.03510652,2.56839786,2.38139604,0.41062859
3.77059177,0.888378956,0.886666257,0.840713832,0.829816018,3.02472977,2.5722193,2.38745599,0.406076076
3.87059177,0.887561431,0.888309905,0.846914185,0.836479142,3.01895614,2.57993142,2.39373174,0.404286708
3.97059177,0.886522745,0.887773799,0.851362705,0.840575199,3.01159432,2.5863204,2.39769926,0.402279609
4.07059177,0.888812313,0.887289941,0.837602852,0.826847426,3.00272515,2.59159113,2.4020656,0.399640526
4.17059177,0.88753721,0.887226812,0.856103493,0.845565679,2.9983489,2.60060324,2.40582875,0.39962397
4.27059177,0.886658633,0.888371387,0.840834082,0.829899277,2.98871587,2.60518169,2.40747517,0.397217896
4.37059177,0.888314733,0.887566307,0.846772592,0.83630468,2.98363826,2.61339065,2.40975015,0.397239653
4.47059177,0.887773153,0.886521869,0.851473998,0.840660642,2.97708474,2.62017051,2.40983922,0.396917264
4.57059177,0.887286074,0.88880848,0.837561796,0.82678148,2.96897417,2.62563288,2.41061294,0.395781661
4.670591770000001,0.887232757,0.887543391,0.856077696,0.845524988,2.96536491,2.63467206,2.41112637,0.397107331
4.77059177,0.888364659,0.886651675,0.840936129,0.829987911,2.95649812,2.63918389,2.40976557,0.39592779
4.87059177,0.887571133,0.888319517,0.846618072,0.836141486,2.95215505,2.64716589,2.40920456,0.397055201
4.9705917699999995,0.886521408,0.887772897,0.851565514,0.840750579,2.94641115,2.65367819,2.40664665,0.397800086
5.07059177,0.888805113,0.887282672,0.837513939,0.826732287,2.93902297,2.65872183,2.40499831,0.397620713
5.17059177,0.887549639,0.887238775,0.856041314,0.845496166,2.93619743,2.66731168,2.40322221,0.399863236
5.27059177,0.886644829,0.888358117,0.841038791,0.830098228,2.92809325,2.67129606,2.39976707,0.399547609
5.37059177,0.888324794,0.887576475,0.846465633,0.836000956,2.92443392,2.6786567,2.39739596,0.401429377
5.47059177,0.887772398,0.886520678,0.851656439,0.840859663,2.91949823,2.6845901,2.39301358,0.402981789
5.57059177,0.887279567,0.888802133,0.837447585,0.826684112,2.9127971,2.68892343,2.38976353,0.403504026
